PUMFID,JobIncomeCategory,GovLoan,RESP,GovGrant,NonGovGrant,Scholarship,Savings,FamilySupport,BankLoan,CreditCard,EmployerFunding,OtherFunding,WorkBeforeProgram,WorkPlacement,Male,Ontario,Quebec,WesternProv,ageUnder25,age25to29,age30to39,age40more,status_ctz_birth,status_ctz_nature,status_immigrant,edu_college,edu_bachelor,edu_graduate,fieldOfStudy_edu,fieldOfStudy_human,fieldOfStudy_social,fieldOfStudy_business,fieldOfStudy_lifeScience,fieldOfStudy_math,fieldOfStudy_engineering,fieldOfStudy_health,Parent1Edu_higher,Parent1Edu_same,Parent1Edu_lower,Parent2Edu_higher,Parent2Edu_same,Parent2Edu_lower
59160,0.0,0,0,1,0,0,0,0,1,0,0,0,60.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
59162,80000.0,1,0,0,0,0,1,0,0,0,0,0,30.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
59163,0.0,0,1,0,0,1,0,0,0,0,0,0,18.0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
59164,80000.0,0,0,0,0,0,0,0,0,0,0,0,60.0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
59165,60000.0,0,0,0,0,0,0,1,1,0,0,0,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
59168,120000.0,0,0,0,0,0,0,0,0,0,0,0,18.0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
59169,60000.0,1,0,0,0,0,1,0,0,0,0,0,60.0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
59170,80000.0,0,0,0,0,0,0,0,0,0,0,0,60.0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
59173,60000.0,0,0,0,0,0,0,0,0,0,0,0,6.0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
59175,40000.0,0,0,0,0,0,0,0,0,0,0,0,60.0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
59176,120000.0,0,0,0,0,0,0,0,0,0,0,0,30.0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
59177,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
59178,80000.0,0,0,0,0,0,1,0,0,1,0,0,60.0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
59179,80000.0,0,0,0,0,0,0,0,0,0,0,0,18.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
59180,40000.0,0,0,0,0,0,0,0,0,0,0,0,30.0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
59182,60000.0,0,0,0,0,0,0,0,0,0,0,0,60.0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
59186,120000.0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
59188,13000.0,1,0,1,0,0,0,0,0,0,0,0,42.0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
59190,40000.0,0,0,0,0,0,0,0,0,0,0,0,60.0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
59191,80000.0,0,0,0,0,0,0,0,0,0,0,0,60.0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
59192,60000.0,0,0,0,0,1,1,0,0,0,0,0,60.0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
59194,60000.0,1,0,0,0,0,1,0,0,0,0,0,30.0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
59196,0.0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
59198,40000.0,0,0,0,0,0,0,0,0,0,0,0,18.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
59201,120000.0,0,1,0,0,0,0,1,0,0,0,0,60.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
59202,120000.0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
59203,0.0,0,0,0,0,0,0,0,0,0,0,0,30.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
59205,40000.0,0,0,0,0,0,1,1,0,0,0,0,18.0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
59206,80000.0,1,0,0,0,0,1,0,0,0,0,0,42.0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
59207,120000.0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
59210,80000.0,0,0,0,0,1,1,0,0,0,0,0,60.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
59211,80000.0,1,0,0,0,0,1,0,0,0,0,0,18.0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
59213,80000.0,1,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
59214,60000.0,0,1,0,0,0,1,0,0,0,0,0,0.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
59215,40000.0,0,1,0,0,0,1,0,0,0,0,0,6.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
59216,60000.0,0,1,0,0,0,1,0,0,0,0,0,30.0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
59217,40000.0,0,0,0,0,0,0,0,0,0,0,0,18.0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
59219,40000.0,0,0,0,0,0,0,0,0,0,0,0,18.0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
59220,60000.0,0,0,0,0,0,0,0,0,0,0,0,42.0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
59222,80000.0,1,0,0,0,0,0,0,1,0,0,0,42.0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
59223,40000.0,0,0,0,0,1,1,0,0,0,0,0,42.0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
59225,,0,0,0,0,0,0,0,0,0,0,0,60.0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
59226,0.0,0,1,0,0,0,0,1,0,0,0,0,6.0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
59227,80000.0,0,0,0,0,0,0,0,0,0,0,0,60.0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
59228,60000.0,1,0,0,0,0,1,0,0,0,0,0,18.0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
59229,0.0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
