PUMFID,JOBINCP,STL_170A,STL_170B,STL_170C,STL_170D,STL_170E,STL_170F,STL_170H,STL_170I,STL_170J,STL_170L,STLP170N,GRADAGEP,GENDER2,CTZSHIPP,HLOSGRDP,PGMCIPAP,REG_INST,BEF_160,PGM_P100,PAR1GRD,PAR2GRD
65538,96,6,6,6,6,6,6,6,6,6,6,6,1,2,1,2,9,4,2,1,3,2
65540,4,2,6,6,6,1,1,6,6,6,6,6,3,2,9,3,2,2,2,2,1,1
65541,3,6,6,6,6,6,6,6,6,6,6,6,1,2,1,1,10,1,3,1,2,1
65543,4,2,6,6,6,6,1,1,6,6,6,6,3,2,1,2,2,2,6,2,3,1
65544,5,2,1,6,6,1,2,2,6,6,6,6,1,2,1,2,5,3,2,2,3,3
65545,5,6,6,6,6,6,6,6,6,6,6,6,1,2,1,1,9,1,6,1,1,1
65546,3,1,6,2,6,2,6,1,6,2,6,6,2,2,1,3,1,3,1,1,3,2
65547,96,1,6,2,6,6,1,6,6,6,6,6,2,1,1,3,9,3,3,1,1,1
65549,96,2,1,6,6,2,6,1,6,6,6,6,1,2,1,2,2,1,3,2,9,9
65552,3,6,6,6,6,6,6,6,6,6,6,6,2,2,1,3,5,2,1,1,1,1
65553,3,9,9,9,9,9,9,9,9,9,9,9,3,1,1,1,10,2,6,1,1,1
65556,4,1,6,6,6,6,1,6,6,6,6,6,4,1,2,3,10,2,6,2,1,1
65557,2,1,6,6,6,6,2,1,2,2,6,6,2,2,1,1,9,4,6,1,1,1
65558,2,1,6,6,6,6,1,2,6,2,6,6,1,2,1,1,5,1,6,1,1,1
65561,4,6,6,6,6,6,6,6,6,6,6,6,4,1,2,3,5,3,6,2,1,1
65565,3,6,6,6,6,6,6,6,6,6,6,6,3,2,2,3,4,3,2,1,3,3
65566,4,1,6,6,2,2,1,6,6,6,6,6,1,2,1,2,9,3,6,1,1,1
65568,2,6,6,6,6,6,6,6,6,6,6,6,2,1,1,3,5,2,1,1,1,1
65569,5,2,1,6,6,6,6,1,6,6,6,6,1,1,1,2,4,3,1,2,3,2
65570,96,1,6,1,2,2,2,6,2,6,6,6,1,2,1,2,6,4,6,2,1,1
65572,5,6,6,6,6,6,6,6,6,6,6,6,3,2,1,3,5,2,6,2,1,1
65575,1,2,6,6,2,1,2,1,6,6,6,6,2,2,1,3,4,4,6,2,1,1
65577,4,1,6,2,6,2,2,2,6,1,6,6,2,1,1,2,5,4,4,1,3,1
65578,96,6,6,6,6,6,6,6,6,6,6,6,4,2,1,2,2,4,6,1,3,2
65579,2,6,6,6,6,6,6,6,6,6,6,6,1,1,1,2,4,4,4,1,3,2
65584,3,1,2,6,6,2,1,2,6,6,6,6,1,1,1,2,8,4,2,1,3,1
65585,2,6,6,6,6,6,6,6,6,6,6,6,1,2,1,1,2,1,6,1,2,2
65586,3,1,6,1,6,6,2,6,6,6,6,6,2,1,1,1,8,4,6,1,2,2
65588,3,6,6,6,6,6,6,6,6,6,6,6,3,2,1,1,4,4,5,1,1,1
65590,96,1,6,2,6,6,2,1,6,2,6,6,2,2,2,3,6,4,3,1,2,1
65591,2,1,6,6,6,6,2,6,1,6,6,6,1,2,1,1,5,2,6,1,2,2
65592,3,9,9,9,9,9,9,9,9,9,9,9,1,2,1,2,1,4,4,1,1,1
65595,3,6,6,6,6,6,6,6,6,6,6,6,1,2,1,2,8,3,1,1,2,2
65598,99,1,2,6,6,1,2,6,6,6,6,6,1,1,1,2,5,1,3,2,1,1
65599,5,2,6,6,6,1,6,2,6,6,6,6,3,2,1,3,1,2,6,1,1,1
65600,96,6,6,6,6,6,6,6,6,6,6,6,4,2,1,3,5,2,6,1,1,1
65603,1,2,1,6,6,2,6,1,6,6,6,6,2,2,1,2,6,4,6,1,3,3
65604,96,1,6,6,6,6,6,6,1,6,6,9,3,1,1,2,9,4,4,2,1,1
65605,5,2,6,6,6,6,2,6,6,1,1,6,3,2,1,3,1,4,6,2,1,1
65608,3,6,6,6,6,6,6,6,6,6,6,6,2,1,1,2,7,4,2,1,3,3
65609,99,2,2,6,6,6,1,1,6,6,6,6,1,2,1,3,10,3,3,2,1,2
65610,96,1,6,2,1,2,2,2,2,2,6,6,2,2,2,2,4,1,6,1,3,2
65613,96,1,6,1,6,6,6,6,6,6,6,9,3,2,1,2,1,4,6,1,1,1
65614,3,9,9,9,9,9,9,9,9,9,9,9,1,2,1,3,5,4,5,1,1,1
65618,4,1,6,2,2,6,6,2,1,6,6,6,3,2,1,3,9,4,6,1,2,1
65619,5,6,6,6,6,6,6,6,6,6,6,6,1,2,3,3,7,3,1,1,1,1
65620,5,2,6,6,6,2,1,6,2,2,6,1,2,2,1,2,9,4,6,1,2,1
65621,4,1,6,6,6,2,6,6,1,6,6,6,2,2,1,3,9,1,2,1,1,1
65623,96,6,6,6,6,6,6,6,6,6,6,6,1,1,1,2,10,1,1,2,1,1
65624,5,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,10,4,6,1,3,3
65630,3,1,6,6,6,6,1,6,6,2,6,6,1,1,1,2,7,4,5,1,2,1
65631,3,6,6,6,6,6,6,6,6,6,6,6,1,1,1,2,8,4,3,1,3,2
65632,96,1,6,6,6,1,6,6,6,2,6,6,2,2,1,1,1,4,6,1,1,1
65633,96,2,1,6,6,1,2,2,6,6,6,6,1,2,1,2,2,1,4,2,1,1
65634,99,6,6,6,6,6,6,6,6,6,6,6,2,1,9,3,8,4,3,2,2,2
65635,4,2,6,6,2,1,2,6,1,6,6,6,2,2,1,2,4,4,6,2,1,1
65636,2,1,6,2,2,6,2,1,6,6,6,6,1,2,1,3,2,3,5,1,2,1
65637,96,1,2,1,2,2,2,6,6,6,6,6,1,1,1,2,5,1,6,2,1,1
65640,5,2,6,6,6,6,1,2,6,6,1,6,4,1,1,3,4,2,6,2,1,1
65641,96,2,6,6,6,6,6,6,1,1,6,6,4,2,1,3,1,4,6,1,2,1
65643,2,6,6,6,6,6,6,6,6,6,6,6,1,1,3,1,8,4,4,1,2,9
65644,96,6,6,6,6,6,6,6,6,6,6,6,2,1,3,2,5,1,4,2,3,1
65645,2,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,10,1,2,1,2,1
65647,2,2,6,6,1,2,1,6,2,2,6,6,4,2,1,1,9,4,6,1,1,1
65649,3,1,2,6,2,1,2,6,6,6,6,6,1,2,1,2,6,4,4,2,1,1
65651,2,6,6,6,6,6,6,6,6,6,6,6,1,2,1,1,9,2,6,1,3,3
65652,3,6,6,6,6,6,6,6,6,6,6,6,3,1,1,3,5,2,6,2,1,1
65653,3,2,1,6,6,6,1,2,6,6,6,6,1,2,1,1,9,1,6,1,3,2
65654,99,2,6,6,6,1,2,1,6,6,6,6,1,1,3,2,5,4,3,1,1,1
65656,3,1,6,6,6,6,2,1,6,6,6,6,1,2,1,2,5,2,3,1,1,1
65657,3,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,5,4,6,2,9,9
65660,1,6,6,6,6,6,6,6,6,6,6,6,2,1,9,2,5,4,2,1,3,3
65661,96,2,6,6,6,2,1,1,6,2,6,6,1,2,1,2,2,4,3,2,2,2
65662,96,2,6,1,6,6,1,6,6,6,6,6,3,2,1,1,1,1,6,2,1,1
65664,2,1,6,6,6,6,6,6,1,2,6,6,3,2,1,1,4,2,6,1,1,1
65667,99,6,6,6,6,6,6,6,6,6,6,6,1,1,9,9,7,2,99,1,9,9
65668,2,6,6,6,6,6,6,6,6,6,6,6,2,1,1,3,10,2,1,1,1,1
65669,3,6,6,6,6,6,6,6,6,6,6,6,1,2,2,1,5,2,1,1,1,1
65670,5,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,8,1,3,1,3,1
65678,1,6,6,6,6,6,6,6,6,6,6,6,2,2,1,2,9,3,2,2,1,1
65680,3,2,6,2,2,1,1,6,2,6,6,6,3,1,2,3,5,2,6,2,1,1
65681,5,6,6,6,6,6,6,6,6,6,6,6,4,1,1,2,1,4,6,2,1,1
65684,5,2,1,2,6,2,1,2,6,6,6,6,1,2,1,2,10,1,2,2,1,1
65685,3,2,1,2,6,6,1,6,6,6,6,6,1,2,1,1,10,4,6,2,9,1
65689,3,6,6,6,6,6,6,6,6,6,6,6,4,2,1,1,1,2,99,1,3,1
65692,1,2,1,2,6,1,6,6,6,6,6,6,1,2,1,2,6,4,2,2,2,1
65693,3,6,6,6,6,6,6,6,6,6,6,6,1,1,1,2,8,4,4,2,2,2
65695,96,1,1,6,6,2,2,6,2,2,6,9,1,2,1,2,9,1,2,2,3,3
65697,5,2,1,2,2,1,2,6,6,6,6,6,2,1,1,3,8,4,3,2,1,1
65699,96,6,6,6,6,6,6,6,6,6,6,6,1,2,1,1,4,4,6,2,3,3
65700,3,2,6,6,6,6,1,1,6,6,6,6,2,2,1,3,10,2,2,1,1,1
65701,1,2,2,6,6,6,1,1,6,6,6,6,1,2,1,1,9,4,2,1,3,2
65702,5,2,6,6,6,2,6,1,6,6,6,6,4,2,1,3,2,2,6,2,1,1
65703,2,1,6,2,6,6,1,2,6,6,6,6,3,1,1,1,1,2,5,1,3,1
65704,4,1,6,1,2,6,2,2,6,6,6,6,4,1,1,2,5,3,6,1,3,3
65705,2,6,6,6,6,6,6,6,6,6,6,6,1,1,1,2,9,4,6,2,3,2
65707,3,1,6,2,6,2,2,1,6,6,2,6,3,2,1,3,8,3,1,2,1,1
65709,1,2,6,2,1,1,6,6,6,6,6,6,1,1,2,2,9,3,2,2,3,2
65710,96,2,6,2,6,1,2,2,6,6,6,6,4,1,2,3,2,3,6,2,1,1
65715,3,1,6,6,6,2,6,6,1,6,6,6,1,2,1,2,9,1,4,1,1,1
65721,4,2,1,6,6,1,2,2,6,6,6,6,1,2,1,3,6,3,3,1,1,1
65722,3,1,6,2,6,2,1,6,6,6,6,6,1,1,2,3,4,3,1,2,1,1
65723,3,2,6,6,6,2,1,6,6,6,6,1,2,1,1,2,5,1,6,1,1,1
65724,2,9,9,9,9,9,9,9,9,9,9,9,1,1,1,2,2,2,5,2,1,1
65725,5,6,6,6,6,6,6,6,6,6,6,6,2,2,1,3,10,4,6,2,1,1
65727,3,1,6,6,6,2,6,1,6,6,6,6,1,2,1,2,2,1,1,2,3,2
65728,3,6,6,6,6,6,6,6,6,6,6,6,2,2,9,2,4,2,1,1,1,1
65730,5,2,2,6,6,1,2,6,6,6,6,6,2,2,1,3,7,3,5,2,1,1
65733,5,6,6,6,6,6,6,6,6,6,6,6,3,1,1,3,9,4,6,2,1,1
65734,99,9,9,9,9,9,9,9,9,9,9,9,2,2,2,9,10,3,99,1,1,1
65735,3,1,2,6,6,2,6,6,6,6,6,1,4,2,1,1,5,4,99,2,1,1
65737,4,2,2,6,6,6,2,1,1,2,2,6,1,1,1,2,5,4,4,1,1,1
65739,99,6,6,6,6,6,6,6,6,6,6,6,2,2,1,1,9,4,6,1,9,9
65742,3,1,1,6,6,2,2,6,6,6,6,6,1,2,1,2,1,1,3,1,1,1
65743,5,1,2,2,2,2,1,6,6,6,6,6,2,1,1,2,6,3,3,2,1,1
65744,3,2,6,6,2,1,2,6,6,6,6,6,2,2,3,3,7,2,3,2,1,1
65748,5,6,6,6,6,6,6,6,6,6,6,6,4,2,2,3,7,2,6,2,1,1
65749,96,6,6,6,6,6,6,6,6,6,6,6,1,2,1,1,2,4,2,2,3,3
65750,5,6,6,6,6,6,6,6,6,6,6,6,4,2,1,2,5,4,6,2,1,1
65752,4,6,6,6,6,6,6,6,6,6,6,6,3,2,1,2,4,2,6,2,1,1
65754,2,1,6,1,6,6,2,2,6,6,6,6,3,2,2,1,5,3,6,1,3,3
65756,3,6,6,6,6,6,6,6,6,6,6,6,2,2,1,2,5,4,3,1,1,1
65758,2,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,5,1,6,2,3,3
65759,96,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,8,2,5,2,3,2
65760,3,6,6,6,6,6,6,6,6,6,6,6,2,1,1,2,8,4,6,1,3,1
65761,5,2,6,6,6,1,2,1,6,6,6,6,1,1,9,2,8,4,1,1,2,1
65763,96,2,6,1,2,6,6,1,6,6,6,6,1,2,2,2,6,3,1,2,1,1
65767,2,2,1,6,6,6,6,1,6,6,6,6,1,1,1,2,4,3,1,2,2,2
65768,5,6,6,6,6,6,6,6,6,6,6,6,2,2,3,3,5,3,4,1,1,1
65770,4,2,6,6,1,2,2,6,6,6,6,6,3,2,1,3,5,3,6,1,1,1
65772,4,6,6,6,6,6,6,6,6,6,6,6,2,2,1,2,5,4,6,2,2,1
65774,3,6,6,6,6,6,6,6,6,6,6,6,1,1,2,1,8,4,6,2,1,1
65775,1,2,6,6,1,6,1,6,6,6,6,6,2,1,3,3,7,3,3,1,3,3
65776,3,6,6,6,6,6,6,6,6,6,6,6,1,2,1,1,8,1,99,2,1,2
65777,2,6,6,6,6,6,6,6,6,6,6,6,2,2,9,2,5,4,6,2,3,9
65778,99,2,6,1,6,6,2,2,1,2,6,6,2,1,9,9,9,4,99,1,9,9
65779,4,1,6,1,6,6,2,6,6,6,6,6,1,1,1,2,5,3,2,1,1,1
65780,3,1,6,2,2,6,1,6,6,6,6,6,1,1,1,2,5,1,6,2,1,1
65781,5,6,6,6,6,6,6,6,6,6,6,6,4,2,1,3,1,4,6,2,1,1
65782,3,2,1,2,6,1,6,6,6,6,6,6,1,2,1,1,4,4,6,2,1,1
65784,96,6,6,6,6,6,6,6,6,6,6,6,3,1,1,1,5,2,6,2,3,2
65785,3,2,6,6,6,2,1,1,6,6,6,6,2,2,1,2,9,4,3,1,3,1
65786,2,2,2,6,6,6,1,1,6,6,6,6,1,2,1,1,10,2,4,1,2,1
65789,99,2,1,6,2,6,1,6,6,2,6,6,1,2,9,9,2,4,99,2,9,9
65793,96,6,6,6,6,6,6,6,6,6,6,6,3,1,3,1,4,3,2,1,1,1
65795,3,6,6,6,6,6,6,6,6,6,6,6,1,1,1,2,4,2,3,2,3,1
65796,3,6,6,6,6,6,6,6,6,6,6,6,1,2,1,3,5,2,1,2,1,1
65797,3,6,1,6,6,2,2,1,6,6,6,6,1,2,1,2,8,3,2,1,2,1
65798,4,6,6,6,6,6,6,6,6,6,6,6,3,2,1,1,9,4,6,1,1,1
65804,4,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,8,1,5,1,2,1
65805,96,6,6,6,6,6,6,6,6,6,6,6,4,2,1,3,5,4,6,1,1,1
65807,96,6,6,6,6,6,6,6,6,6,6,6,1,1,1,2,8,4,1,2,3,2
65809,4,1,6,6,6,6,2,1,6,2,6,6,2,1,2,3,5,3,3,1,1,1
65810,1,6,6,6,6,6,6,6,6,6,6,6,1,2,1,1,4,4,3,2,3,1
65811,2,9,9,9,9,9,9,9,9,9,9,9,2,1,1,2,5,4,6,2,1,1
65812,3,2,6,6,2,2,1,1,6,6,6,6,1,2,3,2,6,3,1,2,3,3
65813,1,2,2,6,2,2,1,6,6,6,6,6,1,1,1,1,7,2,99,1,3,2
65818,4,6,6,6,6,6,6,6,6,6,6,6,1,1,3,1,5,2,4,2,3,3
65819,2,6,6,6,6,6,6,6,6,6,6,6,3,2,9,2,1,3,1,1,9,9
65820,3,6,6,6,6,6,6,6,6,6,6,6,1,1,9,1,8,1,6,1,9,9
65822,3,6,6,6,6,6,6,6,6,6,6,6,2,1,1,1,9,1,6,1,1,1
65823,2,6,6,6,6,6,6,6,6,6,6,6,3,1,2,3,8,4,2,2,1,1
65826,4,2,1,6,6,2,1,6,6,6,6,6,1,2,1,2,1,4,6,1,3,1
65827,4,1,6,6,6,6,1,6,2,2,6,6,4,1,2,3,5,2,6,2,1,1
65828,96,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,10,3,4,1,9,9
65829,2,2,1,6,6,2,6,1,6,6,6,6,1,2,1,2,1,4,2,1,3,3
65830,3,6,6,6,6,6,6,6,6,6,6,6,1,1,9,2,2,4,99,2,1,1
65832,5,2,6,6,6,2,1,1,6,6,6,6,2,1,1,2,6,1,3,2,1,1
65834,4,1,2,2,1,6,6,2,6,6,6,6,1,1,9,2,5,3,99,1,9,9
65835,5,2,6,6,6,1,2,1,6,6,2,6,3,2,1,3,4,4,6,1,1,1
65836,96,2,6,6,6,1,2,2,6,6,6,6,9,2,1,3,5,2,6,1,2,1
65838,3,6,6,6,6,6,6,6,6,6,6,6,4,2,3,2,1,4,6,1,1,1
65839,96,2,6,6,6,1,2,1,6,6,6,6,3,2,1,3,1,3,6,1,2,2
65842,5,6,6,6,6,6,6,6,6,6,6,6,1,1,3,2,7,4,1,1,3,3
65844,2,2,6,6,1,2,6,1,6,6,6,6,1,1,3,2,4,4,1,1,2,2
65845,99,2,6,6,6,6,1,1,6,2,6,6,1,1,2,1,10,4,6,2,1,1
65847,2,6,6,6,6,6,6,6,6,6,6,6,2,2,3,1,9,4,2,2,1,1
65848,5,6,6,6,6,6,6,6,6,6,6,6,3,2,2,2,5,2,6,1,3,3
65849,3,6,6,6,6,6,6,6,6,6,6,6,2,1,1,3,4,4,6,2,3,1
65851,2,6,6,6,6,6,6,6,6,6,6,6,1,2,1,1,9,4,6,1,1,1
65852,3,2,6,6,2,6,1,1,6,6,6,6,1,2,1,2,1,3,5,1,1,1
65853,4,6,6,6,6,6,6,6,6,6,6,6,1,2,1,3,1,3,4,2,1,1
65854,2,6,6,6,6,6,6,6,6,6,6,6,1,1,2,2,7,4,1,2,3,2
65857,3,1,6,2,6,6,6,6,6,6,6,1,2,1,1,1,99,2,6,2,1,1
65859,4,2,6,6,2,2,1,6,2,2,6,1,2,2,1,2,9,4,6,1,1,1
65861,5,1,6,6,2,2,2,6,1,6,6,6,3,2,1,3,6,3,6,2,1,1
65862,3,6,6,6,6,6,6,6,6,6,6,6,4,2,3,2,9,3,6,2,1,1
65863,1,6,6,6,6,6,6,6,6,6,6,6,1,1,3,2,4,1,1,2,1,1
65865,96,2,6,6,6,1,6,1,6,6,6,6,2,2,9,3,8,4,1,2,2,1
65866,2,6,6,6,6,6,6,6,6,6,6,6,1,2,1,1,2,2,4,2,2,1
65868,96,6,6,6,6,6,6,6,6,6,6,6,3,2,2,2,5,3,3,2,3,2
65870,96,6,6,6,6,6,6,6,6,6,6,6,4,1,1,2,5,4,6,2,9,1
65872,2,2,6,1,6,2,6,1,6,6,6,6,1,2,1,3,10,1,3,1,1,1
65877,3,2,2,6,6,6,1,1,6,6,6,6,1,1,1,2,5,1,4,2,2,2
65878,3,1,6,1,6,2,2,2,6,6,2,6,3,1,2,1,8,3,6,1,1,1
65879,3,1,6,2,6,2,1,2,6,6,6,6,1,2,1,2,4,3,4,2,2,2
65881,4,2,1,6,6,2,1,2,6,6,6,6,1,1,1,2,5,1,5,2,1,1
65886,3,6,6,6,6,6,6,6,6,6,6,6,4,2,1,1,5,2,6,2,1,1
65888,2,6,6,6,6,6,6,6,6,6,6,6,4,1,1,1,8,4,6,2,1,1
65889,3,2,1,2,6,2,1,2,6,6,6,6,1,2,1,2,2,4,6,2,2,1
65890,96,1,6,2,6,2,6,1,6,2,6,6,1,2,1,2,5,4,6,2,2,3
65891,2,2,1,6,6,6,1,2,2,2,6,6,1,1,1,1,5,2,2,1,1,1
65892,4,6,6,6,6,6,6,6,6,6,6,6,4,2,1,2,5,2,6,2,3,3
65895,4,6,6,6,6,6,6,6,6,6,6,6,4,2,1,2,5,2,6,2,1,1
65896,3,6,6,6,6,6,6,6,6,6,6,6,1,1,1,2,7,4,4,1,3,2
65897,5,2,6,6,6,6,2,1,1,6,6,6,3,2,1,3,1,1,6,2,1,1
65898,2,1,6,2,6,2,2,6,6,2,6,1,2,2,1,1,6,4,1,1,1,1
65899,96,6,6,6,6,6,6,6,6,6,6,6,3,2,3,1,7,4,2,2,3,3
65901,96,6,6,6,6,6,6,6,6,6,6,6,2,1,3,3,5,1,6,1,1,1
65902,3,6,6,6,6,6,6,6,6,6,6,6,2,2,1,2,5,2,6,1,1,1
65903,2,2,1,6,6,2,6,1,6,6,6,6,3,2,1,3,1,2,3,2,3,3
65904,4,6,6,6,6,6,6,6,6,6,6,6,1,2,1,2,2,3,5,1,2,1
65908,2,6,6,6,6,6,6,6,6,6,6,6,2,1,9,1,8,3,1,2,1,1
65912,96,2,2,6,6,1,2,1,6,6,6,6,1,1,1,2,10,4,1,2,3,3
65913,2,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,7,1,2,2,3,3
65916,96,2,1,6,6,2,2,6,6,1,6,6,1,2,1,2,9,3,3,2,1,1
65917,3,1,6,2,6,6,1,6,6,6,6,6,1,2,1,1,5,3,6,2,1,1
65918,4,1,6,1,6,6,2,6,2,2,6,6,3,2,1,3,1,3,6,2,1,1
65919,96,6,6,6,6,6,6,6,6,6,6,6,3,2,2,1,9,2,6,2,9,9
65920,3,2,1,6,6,1,6,2,6,6,6,6,2,2,2,3,6,4,3,2,1,1
65921,3,6,6,6,6,6,6,6,6,6,6,6,2,1,1,1,5,4,6,2,9,9
65922,3,6,6,6,6,6,6,6,6,6,6,6,2,2,1,3,1,2,6,2,1,1
65926,99,6,6,6,6,6,6,6,6,6,6,6,2,2,1,3,5,2,4,1,2,1
65927,96,2,6,6,6,1,2,2,6,6,6,6,3,2,1,3,4,2,3,1,2,1
65928,4,1,2,2,6,2,1,2,2,2,6,6,2,1,1,3,9,3,3,1,3,2
65929,5,2,6,6,2,1,2,6,6,6,6,6,2,1,1,3,8,2,1,2,1,1
65931,96,2,2,6,6,2,1,1,6,6,6,6,1,1,2,2,4,4,5,2,3,3
65936,5,6,6,6,6,6,6,6,6,6,6,6,2,2,3,2,8,1,1,1,1,1
65937,2,6,6,6,6,6,6,6,6,6,6,6,1,1,1,2,5,4,4,2,3,3
65939,2,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,8,4,1,1,1,1
65940,4,6,6,6,6,6,6,6,6,6,6,6,2,2,1,3,9,2,6,2,1,1
65942,3,1,6,6,6,6,1,6,6,2,6,6,1,2,2,2,5,4,6,2,3,3
65943,2,6,6,6,6,6,6,6,6,6,6,6,1,1,1,2,2,4,2,2,1,1
65944,4,2,2,6,6,1,1,2,6,2,6,6,1,2,1,2,9,4,6,1,2,1
65945,5,2,6,6,6,2,1,2,1,6,6,6,1,1,9,3,8,4,1,1,1,1
65946,5,6,6,6,6,6,6,6,6,6,6,6,4,2,1,3,1,2,6,2,1,1
65947,96,2,1,6,6,2,1,2,6,6,6,6,3,2,1,3,8,4,6,1,1,1
65948,96,6,6,6,6,6,6,6,6,6,6,6,2,2,3,2,5,4,3,2,1,1
65949,2,2,6,6,6,1,2,1,6,6,6,6,1,2,9,2,6,1,1,1,2,2
65950,5,6,6,6,6,6,6,6,6,6,6,6,3,1,2,1,9,4,6,2,1,1
65951,2,6,6,6,6,6,6,6,6,6,6,6,2,2,1,1,9,2,5,1,2,2
65952,2,6,6,6,6,6,6,6,6,6,6,6,2,2,1,2,4,2,6,2,1,1
65953,2,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,8,4,5,1,3,1
65954,99,6,6,6,6,6,6,6,6,6,6,6,4,1,1,3,1,4,6,2,1,1
65955,4,6,6,6,6,6,6,6,6,6,6,6,3,2,1,2,5,2,6,2,1,1
65956,2,1,1,6,2,2,2,6,2,6,6,6,9,2,1,2,9,4,4,2,2,1
65957,3,6,6,6,6,6,6,6,6,6,6,6,3,2,1,2,5,2,5,1,1,1
65958,5,6,6,6,6,6,6,6,6,6,6,6,3,2,1,3,7,4,6,2,1,1
65964,4,6,6,6,6,6,6,6,6,6,6,6,2,2,1,2,9,4,5,1,2,1
65966,99,6,6,6,6,6,6,6,6,6,6,6,1,1,3,2,8,3,1,1,3,2
65971,3,6,6,6,6,6,6,6,6,6,6,6,4,2,1,2,10,2,6,2,9,9
65973,2,1,6,2,6,6,2,1,6,2,6,6,1,2,1,1,8,1,1,2,3,1
65975,96,6,6,6,6,6,6,6,6,6,6,6,2,2,1,2,4,2,6,1,2,2
65977,5,6,6,6,6,6,6,6,6,6,6,6,1,2,1,2,9,4,3,1,3,2
65979,1,2,1,6,6,2,2,1,6,6,6,6,1,1,1,2,4,4,1,2,1,1
65980,96,6,6,6,6,6,6,6,6,6,6,6,4,2,9,9,5,3,99,2,9,9
65981,2,1,6,6,6,6,6,1,6,2,6,6,3,2,1,1,1,3,6,1,1,1
65988,96,1,2,2,2,2,2,1,2,6,6,6,1,1,1,2,9,1,1,2,3,2
65989,5,2,6,6,6,1,6,1,6,6,6,6,1,2,1,3,2,1,6,2,1,1
65991,2,1,6,6,6,6,1,6,6,2,6,6,2,1,1,2,2,1,6,1,3,3
65992,3,6,6,6,6,1,1,6,6,6,6,6,2,2,1,3,1,2,1,2,1,1
65993,3,6,6,6,6,6,6,6,6,6,6,6,4,1,2,3,8,3,6,2,3,1
65994,96,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,5,4,6,2,9,9
65995,2,6,6,6,6,6,6,6,6,6,6,6,4,1,1,1,8,4,6,2,9,9
65996,3,2,6,1,6,2,1,2,6,6,6,6,2,1,1,2,2,4,2,2,1,1
65998,3,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,10,3,5,2,3,3
65999,2,6,6,6,6,6,6,6,6,6,6,6,1,2,1,1,5,1,3,1,3,1
66000,2,1,1,2,6,6,2,2,6,6,6,6,1,2,1,2,8,4,6,2,2,2
66002,2,2,6,6,6,6,1,1,6,2,6,6,1,2,1,2,4,1,2,1,3,9
66004,2,6,6,6,6,6,6,6,6,6,6,6,2,1,9,1,5,4,1,2,1,3
66005,96,9,9,9,9,9,9,9,9,9,9,9,2,1,1,2,5,4,6,1,2,1
66006,4,1,6,2,6,6,1,6,6,6,6,6,2,1,2,2,8,4,6,1,3,1
66008,5,6,6,6,6,6,6,6,6,6,6,6,4,2,1,2,9,2,6,2,1,1
66009,2,2,6,1,6,2,1,2,2,2,6,6,1,2,1,1,4,1,2,2,3,1
66011,99,6,6,6,6,6,6,6,6,6,6,6,3,2,3,3,7,3,6,1,9,9
66015,2,6,6,6,6,6,6,6,6,6,6,6,1,2,1,1,4,4,1,1,1,1
66016,2,2,6,6,6,6,1,6,6,6,2,1,4,2,1,1,2,1,1,1,1,1
66018,96,1,6,2,2,2,1,6,2,6,6,6,1,2,1,2,4,4,6,1,2,1
66019,96,1,6,6,2,1,6,2,6,6,6,6,2,1,2,3,6,2,1,2,1,1
66020,5,2,6,6,6,2,6,1,6,6,1,6,2,1,9,9,10,4,99,1,9,9
66022,2,2,6,6,6,6,1,1,6,2,6,6,1,2,3,2,7,4,1,2,1,1
66023,5,6,6,6,6,6,6,6,6,6,6,6,2,1,3,3,8,4,3,1,1,1
66024,2,2,6,6,6,2,1,1,6,6,6,6,1,1,3,2,6,3,6,2,1,1
66025,1,6,6,6,6,6,6,6,6,6,6,6,1,2,1,2,4,2,1,2,3,1
66026,5,1,1,6,6,6,2,6,2,6,6,6,2,1,1,2,9,4,6,1,2,2
66027,4,1,6,6,6,2,1,6,6,6,6,6,4,2,1,2,7,4,6,1,1,1
66030,5,6,6,6,6,6,6,2,1,6,1,6,3,2,1,3,9,3,6,2,2,1
66031,99,9,9,9,9,9,9,9,9,9,9,9,2,2,9,9,2,3,99,2,9,9
66032,5,2,6,6,6,2,1,1,6,6,6,6,1,1,2,2,7,4,3,2,3,3
66034,99,2,6,6,6,2,1,2,2,2,6,1,1,2,1,9,4,1,6,1,1,1
66035,3,6,6,6,6,6,6,6,6,6,6,6,2,2,3,3,5,1,2,2,2,2
66036,96,2,1,2,6,2,6,1,6,6,6,6,1,2,1,2,6,3,2,2,2,2
66037,5,1,2,6,2,2,2,6,1,6,6,6,2,1,1,2,4,4,4,2,2,2
66039,3,9,9,9,9,9,9,9,9,9,9,9,3,2,9,1,5,4,99,1,9,9
